,tenant_level_code,student_num_code,techer_num_code,student_rate_code,techer_rate_code,nofree_course_num_code,free_course_num_code,nofree_course_rate_code,free_course_rate_code,nofreecourseNum_Same2Tenant,teachplan_num_code,teachplan_type_num_code,teachact_num_code,teachact_type_num_code,openingtime_code,region_code,prvn_code,teacher_num_code,teacher_rate_code,teachActSim,virtualLabel,type
3560999263305890048,9075,29,0,0,0,4,5,0,0,4,5,4,36,6,2022,7290,430000,3,0,23,3,other
3564140600332134912,6675,12,0,0,0,3,2,0,0,3,0,0,0,0,2022,7266,130000,2,0,19,3,other
3543887215975732224,9075,77,0,0,0,2,1,0,0,2,20,12,585,6,2022,7268,370000,1,0,33,3,other
3536311530087350784,6675,172,0,84,0,5,0,0,0,5,7,5,174,6,2022,7266,110000,5,0,23,3,other
3543183885781453056,6675,38,0,0,0,2,0,0,0,2,4,1,50,3,2022,6866,230000,1,0,47,3,other
3537625241913142272,6675,193,0,0,0,5,0,0,0,5,5,2,127,4,2022,7266,130000,1,0,27,3,other
3540383090363921408,9075,695,0,0,0,3,2,0,0,3,80,14,1754,6,2022,7266,120000,4,0,43,3,other
3544695550299331584,6675,75,0,1,0,2,0,0,0,2,27,13,579,6,2022,7268,330000,4,0,53,3,other
3551666295551249408,9075,637,0,0,0,4,1,0,0,4,1,1,0,0,2022,7268,330000,7,0,19,3,other
3549661780280005376,9075,82,0,0,0,3,5,0,0,2,0,0,0,0,2022,7278,440000,2,0,18,3,other
3571372262449484544,9075,37,0,0,0,4,0,0,0,4,1,1,35,6,2022,8878,500000,4,0,24,3,other
3551143471329804032,9075,100,0,0,0,3,3,0,0,3,3,1,105,6,2022,7268,330000,7,0,23,3,other
3549106286389905664,9075,48,0,0,0,2,0,0,0,2,3,3,14,2,2022,7290,410000,1,0,37,3,other
3537810881694851840,6675,189,0,0,0,4,0,0,0,4,7,4,223,6,2022,8878,510000,5,0,34,3,other
3544095769440479488,9075,72,0,0,0,3,1,0,0,3,5,5,66,6,2022,7268,370000,4,0,30,3,other
3534509643126661120,9075,31,0,0,0,5,0,0,0,5,3,3,54,6,2022,7266,110000,2,0,34,3,other
3561544423507798016,9075,45,0,0,0,3,2,0,0,3,2,2,3,2,2022,8866,610000,4,0,26,3,other
3534673921333864960,9075,193,0,0,0,4,2,0,0,4,30,8,808,6,2022,7266,120000,2,0,27,3,other
3535160222743366400,9075,492,0,80,0,6,0,0,0,5,53,21,1131,6,2022,8878,510000,6,0,30,3,other
3547031267328201728,9075,21,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,410000,1,0,15,3,other
3535240040973527040,9075,81,0,0,0,5,4,0,0,4,15,7,208,6,2022,7266,130000,7,0,52,3,other
3545221494814459648,9075,50,0,0,0,1,0,0,0,1,2,1,70,6,2022,7268,330000,2,0,10,3,other
3550795797674276608,9075,31,0,0,0,5,6,0,0,5,14,12,122,6,2022,8866,650000,6,0,61,3,other
3545981465651409152,6675,85,0,0,0,2,2,0,0,2,1,1,0,0,2022,7268,340000,2,0,23,3,other
3535169937959953664,9075,581,0,0,0,6,11,0,0,5,90,28,1519,6,2022,8878,500000,7,0,24,3,other
3550413266760901120,9075,47,0,0,0,4,0,0,0,4,7,5,29,4,2022,7278,450000,2,0,36,3,other
3539456483382583808,9090,29,0,0,0,5,0,0,0,3,2,1,73,6,2022,8866,610000,2,0,48,3,other
3568954557291987456,9090,41,0,0,0,4,0,0,0,4,2,2,8,2,2022,8866,610000,2,0,23,3,other
3534690293748534528,9075,503,0,0,0,4,0,0,0,4,23,14,459,6,2022,7266,120000,3,0,39,3,other
3539827232989818368,6675,56,0,13,0,3,0,0,0,3,14,9,393,6,2022,7266,140000,3,0,53,3,other
3574485500211675904,6675,134,0,0,0,2,0,0,0,2,4,2,6,2,2022,8866,620000,1,0,14,3,other
3543014515334004480,6675,13,0,0,0,2,0,0,0,2,0,0,0,0,2022,6866,210000,1,0,11,3,other
3569338428585256192,9075,322,0,0,0,4,4,0,0,4,3,3,0,0,2022,7290,420000,8,0,19,3,other
3534509926594902528,9075,319,0,157,0,5,9,0,0,5,59,27,1120,6,2022,7266,110000,6,0,34,3,other
3550367407249678080,9075,159,0,0,0,4,3,0,0,4,7,3,195,6,2022,7290,410000,5,0,31,3,other
3575989083907832576,9075,135,0,0,0,3,0,0,0,3,12,9,50,3,2022,8866,610000,3,0,49,3,other
3544305766982196224,6675,116,0,0,0,4,8,0,0,4,18,11,344,6,2022,7268,370000,5,0,38,3,other
3547090226492737024,9075,40,0,0,0,4,0,0,0,4,1,1,7,2,2022,7290,410000,3,0,14,3,other
3544434968778136064,6675,59,0,0,0,2,0,0,0,2,1,1,35,6,2022,7278,440000,1,0,23,3,other
3551894965704435456,6675,77,0,2,0,2,0,0,0,2,11,11,305,6,2022,7268,320000,1,0,79,3,other
3535144200922924032,9075,206,0,0,0,4,0,0,0,4,65,11,1077,6,2022,8878,510000,0,0,38,3,other
3538558521683547136,9075,85,0,0,0,5,0,0,0,4,11,6,238,6,2022,8878,500000,1,0,28,3,other
3543908519014899712,9075,36,0,0,0,5,0,0,0,3,6,4,134,6,2022,7268,370000,4,0,27,3,other
3539489691509446656,6675,55,0,0,0,3,0,0,0,3,9,9,245,6,2022,7266,110000,2,0,75,3,other
3564140331804400128,9075,106,0,0,0,2,0,0,0,2,6,1,210,6,2022,8878,530000,1,0,23,3,other
3574182228277587712,9075,31,0,0,0,4,0,0,0,4,4,4,11,2,2022,8878,530000,1,0,38,3,other
3560992442899937536,6675,105,0,0,0,4,1,0,0,4,2,1,70,6,2022,8878,510000,2,0,23,3,other
3545547257344602624,9090,79,0,0,0,5,0,0,0,3,20,13,156,5,2022,7266,140000,1,0,56,3,other
3569864658716018432,9075,108,0,0,0,2,0,0,0,2,4,2,94,6,2022,8878,520000,5,0,36,3,other
3543367802167290880,6675,60,0,0,0,2,0,0,0,2,1,1,35,6,2022,7290,410000,1,0,55,3,other
3500876859795079424,9075,668,0,1,0,6,1,4,0,5,157,16,2487,7,2021,7268,370000,8,0,30,3,other
3538127388569822976,9075,11,0,0,0,4,0,0,0,4,2,1,60,4,2022,8878,510000,1,0,20,3,other
3555611974252476928,9075,35,0,0,0,4,2,0,0,4,1,1,35,6,2022,7268,320000,2,0,31,3,other
3535223689473751040,9075,86,0,0,0,4,0,0,0,4,8,8,117,6,2022,7266,130000,0,0,34,3,other
3545728488370868224,9075,170,0,0,0,2,0,0,0,2,4,1,140,6,2022,7268,370000,2,0,15,3,other
3547090014477762816,9075,74,0,0,0,1,1,0,0,1,1,1,36,6,2022,7268,340000,2,0,21,3,other
3537775325249538048,6675,155,0,0,0,5,0,0,0,5,11,6,525,6,2022,8878,510000,4,0,20,3,other
3540932592775654912,9075,572,0,0,0,5,4,0,0,4,35,7,681,6,2022,7290,410000,8,0,26,3,other
